,Sucursal,Rango_Edad,Fechas,Year_Month,FCC_y_m,Count_CCont,FR_y_m,Count_Ret,FS_y_m,Count_Sin,CumSum_CCont,CumSum_Ret,CumSum_Sin,Pop_Actual,Pop_SinRetiros,Proporcion_Siniestros,Year,Month
2880,VALLE DEL CAUCA,1-4,2015-01-01,2015-01,2015-01,2.0,,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2015,1
2881,VALLE DEL CAUCA,1-4,2015-02-01,2015-02,,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2015,2
2882,VALLE DEL CAUCA,1-4,2015-03-01,2015-03,,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2015,3
2883,VALLE DEL CAUCA,1-4,2015-04-01,2015-04,,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2015,4
2884,VALLE DEL CAUCA,1-4,2015-05-01,2015-05,2015-05,4.0,,0.0,,0.0,6.0,0.0,0.0,6.0,6.0,0.0,2015,5
2885,VALLE DEL CAUCA,1-4,2015-06-01,2015-06,2015-06,1.0,,0.0,,0.0,7.0,0.0,0.0,7.0,7.0,0.0,2015,6
2886,VALLE DEL CAUCA,1-4,2015-07-01,2015-07,2015-07,3.0,,0.0,,0.0,10.0,0.0,0.0,10.0,10.0,0.0,2015,7
2887,VALLE DEL CAUCA,1-4,2015-08-01,2015-08,2015-08,1.0,,0.0,,0.0,11.0,0.0,0.0,11.0,11.0,0.0,2015,8
2888,VALLE DEL CAUCA,1-4,2015-09-01,2015-09,,0.0,,0.0,,0.0,11.0,0.0,0.0,11.0,11.0,0.0,2015,9
2889,VALLE DEL CAUCA,1-4,2015-10-01,2015-10,,0.0,,0.0,,0.0,11.0,0.0,0.0,11.0,11.0,0.0,2015,10
2890,VALLE DEL CAUCA,1-4,2015-11-01,2015-11,2015-11,4.0,,0.0,,0.0,15.0,0.0,0.0,15.0,15.0,0.0,2015,11
2891,VALLE DEL CAUCA,1-4,2015-12-01,2015-12,2015-12,1.0,,0.0,,0.0,16.0,0.0,0.0,16.0,16.0,0.0,2015,12
2892,VALLE DEL CAUCA,1-4,2016-01-01,2016-01,2016-01,2.0,,0.0,,0.0,18.0,0.0,0.0,18.0,18.0,0.0,2016,1
2893,VALLE DEL CAUCA,1-4,2016-02-01,2016-02,,0.0,,0.0,,0.0,18.0,0.0,0.0,18.0,18.0,0.0,2016,2
2894,VALLE DEL CAUCA,1-4,2016-03-01,2016-03,,0.0,,0.0,,0.0,18.0,0.0,0.0,18.0,18.0,0.0,2016,3
2895,VALLE DEL CAUCA,1-4,2016-04-01,2016-04,2016-04,1.0,,0.0,,0.0,19.0,0.0,0.0,19.0,19.0,0.0,2016,4
2896,VALLE DEL CAUCA,1-4,2016-05-01,2016-05,2016-05,2.0,,0.0,,0.0,21.0,0.0,0.0,21.0,21.0,0.0,2016,5
2897,VALLE DEL CAUCA,1-4,2016-06-01,2016-06,,0.0,,0.0,,0.0,21.0,0.0,0.0,21.0,21.0,0.0,2016,6
2898,VALLE DEL CAUCA,1-4,2016-07-01,2016-07,2016-07,3.0,,0.0,,0.0,24.0,0.0,0.0,24.0,24.0,0.0,2016,7
2899,VALLE DEL CAUCA,1-4,2016-08-01,2016-08,2016-08,2.0,,0.0,,0.0,26.0,0.0,0.0,26.0,26.0,0.0,2016,8
2900,VALLE DEL CAUCA,1-4,2016-09-01,2016-09,,0.0,,0.0,,0.0,26.0,0.0,0.0,26.0,26.0,0.0,2016,9
2901,VALLE DEL CAUCA,1-4,2016-10-01,2016-10,2016-10,2.0,,0.0,,0.0,28.0,0.0,0.0,28.0,28.0,0.0,2016,10
2902,VALLE DEL CAUCA,1-4,2016-11-01,2016-11,2016-11,1.0,,0.0,,0.0,29.0,0.0,0.0,29.0,29.0,0.0,2016,11
2903,VALLE DEL CAUCA,1-4,2016-12-01,2016-12,2016-12,1.0,,0.0,,0.0,30.0,0.0,0.0,30.0,30.0,0.0,2016,12
2904,VALLE DEL CAUCA,1-4,2017-01-01,2017-01,,0.0,,0.0,,0.0,30.0,0.0,0.0,30.0,30.0,0.0,2017,1
2905,VALLE DEL CAUCA,1-4,2017-02-01,2017-02,,0.0,,0.0,,0.0,30.0,0.0,0.0,30.0,30.0,0.0,2017,2
2906,VALLE DEL CAUCA,1-4,2017-03-01,2017-03,2017-03,1.0,,0.0,,0.0,31.0,0.0,0.0,31.0,31.0,0.0,2017,3
2907,VALLE DEL CAUCA,1-4,2017-04-01,2017-04,2017-04,1.0,,0.0,,0.0,32.0,0.0,0.0,32.0,32.0,0.0,2017,4
2908,VALLE DEL CAUCA,1-4,2017-05-01,2017-05,,0.0,,0.0,,0.0,32.0,0.0,0.0,32.0,32.0,0.0,2017,5
2909,VALLE DEL CAUCA,1-4,2017-06-01,2017-06,2017-06,2.0,,0.0,,0.0,34.0,0.0,0.0,34.0,34.0,0.0,2017,6
2910,VALLE DEL CAUCA,1-4,2017-07-01,2017-07,2017-07,1.0,,0.0,,0.0,35.0,0.0,0.0,35.0,35.0,0.0,2017,7
2911,VALLE DEL CAUCA,1-4,2017-08-01,2017-08,2017-08,2.0,,0.0,,0.0,37.0,0.0,0.0,37.0,37.0,0.0,2017,8
2912,VALLE DEL CAUCA,1-4,2017-09-01,2017-09,2017-09,2.0,,0.0,,0.0,39.0,0.0,0.0,39.0,39.0,0.0,2017,9
2913,VALLE DEL CAUCA,1-4,2017-10-01,2017-10,2017-10,2.0,,0.0,,0.0,41.0,0.0,0.0,41.0,41.0,0.0,2017,10
2914,VALLE DEL CAUCA,1-4,2017-11-01,2017-11,,0.0,,0.0,,0.0,41.0,0.0,0.0,41.0,41.0,0.0,2017,11
2915,VALLE DEL CAUCA,1-4,2017-12-01,2017-12,2017-12,2.0,,0.0,,0.0,43.0,0.0,0.0,43.0,43.0,0.0,2017,12
2916,VALLE DEL CAUCA,1-4,2018-01-01,2018-01,2018-01,3.0,,0.0,,0.0,46.0,0.0,0.0,46.0,46.0,0.0,2018,1
2917,VALLE DEL CAUCA,1-4,2018-02-01,2018-02,2018-02,4.0,,0.0,,0.0,50.0,0.0,0.0,50.0,50.0,0.0,2018,2
2918,VALLE DEL CAUCA,1-4,2018-03-01,2018-03,2018-03,4.0,,0.0,,0.0,54.0,0.0,0.0,54.0,54.0,0.0,2018,3
2919,VALLE DEL CAUCA,1-4,2018-04-01,2018-04,2018-04,7.0,,0.0,,0.0,61.0,0.0,0.0,61.0,61.0,0.0,2018,4
2920,VALLE DEL CAUCA,1-4,2018-05-01,2018-05,2018-05,2.0,,0.0,,0.0,63.0,0.0,0.0,63.0,63.0,0.0,2018,5
2921,VALLE DEL CAUCA,1-4,2018-06-01,2018-06,2018-06,3.0,,0.0,,0.0,66.0,0.0,0.0,66.0,66.0,0.0,2018,6
